YEAR T1,TEAM T1,SEED T1,KADJ O T1,KADJ D T1,KADJ EM T1,BARTHAG T1,WIN% T1,EXP T1,TALENT T1,ELITE SOS T1,KADJ T T1,BADJ T T1,TOV% T1,TOV%D T1,OREB% T1,DREB% T1,3PTR T1,3PT% T1,YEAR T2,TEAM T2,SEED T2,KADJ O T2,KADJ D T2,KADJ EM T2,BARTHAG T2,WIN% T2,EXP T2,TALENT T2,ELITE SOS T2,KADJ T T2,BADJ T T2,TOV% T2,TOV%D T2,OREB% T2,DREB% T2,3PTR T2,3PT% T2,WINNER
2025,Robert Morris,15,107.033,104.951,2.08242,0.524,75.75758,1.898,0.2,8.247,67.8393,67.899,18.5,18.8,35.3,71.7,36.8,34.9,2025,Alabama,2,126.598,96.6919,29.9064,0.962,75.75758,1.819,58.572,46.471,74.9404,74.645,16.7,13.5,34.7,70.8,46.2,35.0,1
2025,Houston,1,123.269,87.8253,35.4439,0.982,88.23529,2.278,75.695,38.577,61.5016,61.425,14.6,21.7,36.1,70.7,34.5,39.8,2025,SIU Edwardsville,16,101.933,106.247,-4.31392,0.38,63.33333,2.225,7.282,8.164,65.8961,65.8,17.1,17.3,31.8,70.9,36.3,34.0,0
2025,SIU Edwardsville,16,101.933,106.247,-4.31392,0.38,63.33333,2.225,7.282,8.164,65.8961,65.8,17.1,17.3,31.8,70.9,36.3,34.0,2025,Houston,1,123.269,87.8253,35.4439,0.982,88.23529,2.278,75.695,38.577,61.5016,61.425,14.6,21.7,36.1,70.7,34.5,39.8,1
2025,Gonzaga,8,123.611,96.3216,27.2891,0.944,75.75758,2.522,61.194,26.112,70.2431,70.141,13.2,18.2,32.7,73.6,33.5,34.4,2025,Georgia,9,115.468,96.1035,19.3641,0.9,62.5,1.393,64.946,37.778,66.4963,66.394,18.8,18.0,36.1,68.2,36.8,33.5,0
2025,Georgia,9,115.468,96.1035,19.3641,0.9,62.5,1.393,64.946,37.778,66.4963,66.394,18.8,18.0,36.1,68.2,36.8,33.5,2025,Gonzaga,8,123.611,96.3216,27.2891,0.944,75.75758,2.522,61.194,26.112,70.2431,70.141,13.2,18.2,32.7,73.6,33.5,34.4,1
2025,Clemson,5,118.69,94.7724,23.9175,0.927,81.81818,2.503,51.614,26.367,64.3278,64.261,15.7,20.1,33.7,70.1,38.4,37.2,2025,McNeese St.,12,114.303,100.611,13.6921,0.796,80.64516,2.515,25.961,12.768,65.427,65.249,16.2,21.6,34.7,68.7,36.7,35.6,1
2025,McNeese St.,12,114.303,100.611,13.6921,0.796,80.64516,2.515,25.961,12.768,65.427,65.249,16.2,21.6,34.7,68.7,36.7,35.6,2025,Clemson,5,118.69,94.7724,23.9175,0.927,81.81818,2.503,51.614,26.367,64.3278,64.261,15.7,20.1,33.7,70.1,38.4,37.2,0
2025,Purdue,4,124.163,100.363,23.8002,0.929,66.66667,1.484,73.946,38.46,65.0357,65.042,15.6,17.8,31.0,70.1,38.1,38.5,2025,High Point,13,118.496,109.181,9.31501,0.726,84.375,2.445,17.054,6.978,66.4904,66.472,15.3,16.5,34.0,70.1,39.0,36.6,0
2025,High Point,13,118.496,109.181,9.31501,0.726,84.375,2.445,17.054,6.978,66.4904,66.472,15.3,16.5,34.0,70.1,39.0,36.6,2025,Purdue,4,124.163,100.363,23.8002,0.929,66.66667,1.484,73.946,38.46,65.0357,65.042,15.6,17.8,31.0,70.1,38.1,38.5,1
2025,Illinois,6,121.633,98.0448,23.5881,0.923,63.63636,1.177,74.592,39.298,71.4016,71.333,15.8,12.7,36.0,73.7,46.9,31.1,2025,Xavier,11,115.459,98.2866,17.1723,0.88,65.625,2.524,42.959,28.812,69.1435,69.015,16.0,17.6,25.2,74.8,37.4,38.8,0
2025,Xavier,11,115.459,98.2866,17.1723,0.88,65.625,2.524,42.959,28.812,69.1435,69.015,16.0,17.6,25.2,74.8,37.4,38.8,2025,Illinois,6,121.633,98.0448,23.5881,0.923,63.63636,1.177,74.592,39.298,71.4016,71.333,15.8,12.7,36.0,73.7,46.9,31.1,1
2025,Kentucky,3,123.868,99.6111,24.2565,0.931,66.66667,2.329,46.326,43.526,71.013,70.867,15.2,14.0,28.7,74.1,41.7,37.4,2025,Troy,14,107.706,100.828,6.87801,0.661,67.74194,1.661,0.2,14.121,66.3679,66.137,19.9,19.8,38.6,68.0,44.8,30.3,0
2025,Troy,14,107.706,100.828,6.87801,0.661,67.74194,1.661,0.2,14.121,66.3679,66.137,19.9,19.8,38.6,68.0,44.8,30.3,2025,Kentucky,3,123.868,99.6111,24.2565,0.931,66.66667,2.329,46.326,43.526,71.013,70.867,15.2,14.0,28.7,74.1,41.7,37.4,1
2025,UCLA,7,116.828,95.0405,21.7873,0.92,68.75,1.849,70.64,34.636,64.9617,65.028,15.9,22.8,32.8,70.8,36.0,35.2,2025,Utah St.,10,120.785,105.555,15.2291,0.853,78.125,2.077,17.856,23.021,67.6245,67.63,16.0,20.2,34.6,69.7,42.3,35.8,0
2025,Utah St.,10,120.785,105.555,15.2291,0.853,78.125,2.077,17.856,23.021,67.6245,67.63,16.0,20.2,34.6,69.7,42.3,35.8,2025,UCLA,7,116.828,95.0405,21.7873,0.92,68.75,1.849,70.64,34.636,64.9617,65.028,15.9,22.8,32.8,70.8,36.0,35.2,1
2025,Tennessee,2,119.981,88.5426,31.4386,0.957,79.41176,2.65,51.743,41.282,63.6241,63.823,16.0,17.8,35.4,69.9,43.0,34.0,2025,Wofford,15,113.682,109.523,4.15908,0.547,53.125,2.088,0.2,12.682,64.1094,63.93,16.9,14.9,35.5,73.8,47.7,34.5,0
2025,Wofford,15,113.682,109.523,4.15908,0.547,53.125,2.088,0.2,12.682,64.1094,63.93,16.9,14.9,35.5,73.8,47.7,34.5,2025,Tennessee,2,119.981,88.5426,31.4386,0.957,79.41176,2.65,51.743,41.282,63.6241,63.823,16.0,17.8,35.4,69.9,43.0,34.0,1
2025,Auburn,1,128.505,93.4663,35.0385,0.976,84.84848,2.573,34.433,45.564,67.6684,67.776,13.4,17.4,34.3,69.7,40.6,36.8,2025,Creighton,9,116.968,98.2653,18.7025,0.885,70.58824,1.954,59.745,31.577,67.1073,67.135,18.1,11.7,26.9,72.8,49.0,33.9,0
2025,Creighton,9,116.968,98.2653,18.7025,0.885,70.58824,1.954,59.745,31.577,67.1073,67.135,18.1,11.7,26.9,72.8,49.0,33.9,2025,Auburn,1,128.505,93.4663,35.0385,0.976,84.84848,2.573,34.433,45.564,67.6684,67.776,13.4,17.4,34.3,69.7,40.6,36.8,1
2025,Michigan,5,116.787,94.9671,21.8201,0.907,73.52941,2.239,57.267,37.294,69.6043,69.422,19.8,16.0,33.2,70.2,42.5,33.4,2025,Texas A&M,4,116.281,92.2075,24.0735,0.924,68.75,2.764,69.423,39.956,66.2185,66.083,18.2,19.7,42.0,72.2,37.6,31.1,0
2025,Texas A&M,4,116.281,92.2075,24.0735,0.924,68.75,2.764,69.423,39.956,66.2185,66.083,18.2,19.7,42.0,72.2,37.6,31.1,2025,Michigan,5,116.787,94.9671,21.8201,0.907,73.52941,2.239,57.267,37.294,69.6043,69.422,19.8,16.0,33.2,70.2,42.5,33.4,1
2025,Mississippi,6,117.897,95.8241,22.0726,0.9,66.66667,2.701,56.397,41.324,68.1108,67.977,12.8,20.5,25.4,69.2,40.2,34.1,2025,Iowa St.,3,119.483,92.4824,27.0002,0.948,72.72727,2.401,35.926,36.738,68.6373,68.54,16.9,21.8,32.2,71.6,36.9,35.8,0
2025,Iowa St.,3,119.483,92.4824,27.0002,0.948,72.72727,2.401,35.926,36.738,68.6373,68.54,16.9,21.8,32.2,71.6,36.9,35.8,2025,Mississippi,6,117.897,95.8241,22.0726,0.9,66.66667,2.701,56.397,41.324,68.1108,67.977,12.8,20.5,25.4,69.2,40.2,34.1,1
2025,New Mexico,10,112.545,95.2167,17.3279,0.867,78.125,2.047,45.924,24.388,72.7518,73.074,15.6,20.5,31.5,74.4,32.2,34.1,2025,Michigan St.,2,118.056,90.49,27.5664,0.941,81.81818,1.752,74.743,34.707,67.7809,67.859,16.6,16.4,35.3,75.4,32.7,30.8,1
2025,Michigan St.,2,118.056,90.49,27.5664,0.941,81.81818,1.752,74.743,34.707,67.7809,67.859,16.6,16.4,35.3,75.4,32.7,30.8,2025,New Mexico,10,112.545,95.2167,17.3279,0.867,78.125,2.047,45.924,24.388,72.7518,73.074,15.6,20.5,31.5,74.4,32.2,34.1,0
2025,Florida,1,127.938,92.1126,35.8258,0.971,88.23529,1.887,28.619,37.75,69.5912,69.516,15.0,17.0,38.1,71.2,43.6,35.5,2025,Connecticut,8,121.965,102.633,19.3318,0.883,69.69697,1.638,87.492,30.085,63.7849,63.782,17.1,15.5,35.6,72.6,42.6,35.4,0
2025,Connecticut,8,121.965,102.633,19.3318,0.883,69.69697,1.638,87.492,30.085,63.7849,63.782,17.1,15.5,35.6,72.6,42.6,35.4,2025,Florida,1,127.938,92.1126,35.8258,0.971,88.23529,1.887,28.619,37.75,69.5912,69.516,15.0,17.0,38.1,71.2,43.6,35.5,1
